# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
ECSPGSQL;60;1430778815;-5017.12;1.05;3375.65
ECSPGSQL;60;1430778875;-1736.58;0.95;1532.48
ECSPGSQL;60;1430778935;-484.55;-0.40;365.16
ECSPGSQL;60;1430778995;-22.45;-23.80;-43.70
ECSPGSQL;60;1430779055;-27.84;-5.77;-139.29
ECSPGSQL;60;1430779115;-24.28;-17.95;-14.65
ECSPGSQL;60;1430779175;75.20;-22.68;52.52
ECSPGSQL;60;1430779235;10.97;-33.67;-31.23
ECSPGSQL;60;1430779295;-92.88;-77.05;18.06
ECSPGSQL;60;1430779355;14.93;-13.80;-65.33
ECSPGSQL;60;1430779415;7470.95;2.05;-5398.87
